flow_id,rflow_id,name,uploader,num_duplicates,ignore
3716,3716,325b3936TESTSENTINEL999openml.sklearn.model_selection.KFold,2,1,1
3722,3722,325b3936TESTSENTINEL999sklearn.decomposition.pca.PCA,2,1,1
3723,3723,325b3936TESTSENTINEL999sklearn.ensemble.weight_boosting.AdaBoostClassifier(sklearn.tree.tree.DecisionTreeClassifier),2,1,1
3720,3720,325b3936TESTSENTINEL999sklearn.pipeline.FeatureUnion(sklearn.preprocessing.data.PolynomialFeatures__sklearn.decomposition.pca.PCA),2,1,1
3717,3717,325b3936TESTSENTINEL999sklearn.pipeline.Pipeline(sklearn.preprocessing.data.OneHotEncoder__sklearn.preprocessing.data.StandardScaler__sklearn.pipeline.FeatureUnion(sklearn.preprocessing.data.PolynomialFeatures__sklearn.decomposition.pca.PCA)__sklearn.ensemble.weight_boosting.AdaBoostClassifier(sklearn.tree.tree.DecisionTreeClassifier)),2,1,1
3718,3718,325b3936TESTSENTINEL999sklearn.preprocessing.data.OneHotEncoder,2,1,1
3721,3721,325b3936TESTSENTINEL999sklearn.preprocessing.data.PolynomialFeatures,2,1,1
3719,3719,325b3936TESTSENTINEL999sklearn.preprocessing.data.StandardScaler,2,1,1
3724,3724,325b3936TESTSENTINEL999sklearn.tree.tree.DecisionTreeClassifier,2,1,1
5442,5442,AutoSklearnFLow.AutoSklearnFlow,1912,1,0
5705,5705,"DeepForest.DeepForest(preprocessor=sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold))",1104,1,0
5440:5441,5440,Flow.Flow,1912,2,0
17596,17596,"Framework.building_blocks.ClusterBlock(test_set_model=sklearn.neighbors.classification.KNeighborsClassifier,training_set_model=sklearn.cluster.k_means_.KMeans)",11484,1,0
17599,17599,Framework.building_blocks.EnsembleBlock,11484,1,0
17600,17600,Framework.building_blocks.ExplainerBlock,11484,1,0
17601,17601,Framework.building_blocks.ProcessingBlock,11484,1,0
17605,17605,Framework.building_blocks.ReduceBlock(reduce_model=sklearn.decomposition.pca.PCA),11484,1,0
17539,17539,Framework.custom_sklearn_pipeline.CustomPipelineModel,11484,1,0
